TARİX,"XÜSUSİ ÇƏKİ
(kq/m3)","TƏZYİQLƏR
FƏRQİ (kPa)",TƏZYİQ (kPa),"TEMPERATUR
(C)","SAATLIQ
SƏRF(min m3)",SƏRF (min m3)
07-01-2018 17:00,0.72838,10.4904,529.904,9.708,5.572,133.738
07-01-2018 18:00,0.72838,12.4524,525.997,9.697,6.041,144.975
07-01-2018 19:00,0.72838,12.1755,535.630,9.769,6.029,144.706
07-01-2018 20:00,0.72838,11.5605,552.006,9.800,5.968,143.242
07-01-2018 21:00,0.72838,11.2187,566.043,9.754,5.958,142.983
07-01-2018 22:00,0.72838,11.6667,540.406,9.764,5.931,142.343
07-01-2018 23:00,0.72838,11.6294,527.541,9.807,5.849,140.367
08-01-2018 00:00,0.72838,7.9753,533.774,9.786,4.883,117.182
08-01-2018 01:00,0.72838,7.3881,562.250,9.592,4.829,115.900
08-01-2018 02:00,0.72838,7.0601,576.371,9.259,4.785,114.842
08-01-2018 03:00,0.72838,6.8799,582.472,9.095,4.751,114.029
08-01-2018 04:00,0.72838,6.6899,590.555,9.473,4.715,113.169
08-01-2018 05:00,0.72838,6.6179,597.403,9.237,4.720,113.279
08-01-2018 06:00,0.72838,6.8383,586.706,9.086,4.754,114.092
08-01-2018 07:00,0.72838,8.1909,583.030,9.218,5.180,124.313
08-01-2018 08:00,0.72838,8.7341,568.654,9.132,5.281,126.742
08-01-2018 09:00,0.72838,9.6531,530.764,9.163,5.356,128.533
08-01-2018 10:00,0.72838,9.7163,535.836,9.630,5.394,129.463
08-01-2018 11:00,0.72838,9.2349,557.630,10.357,5.364,128.733
08-01-2018 12:00,0.72790,9.0871,554.068,10.882,5.301,127.217
08-01-2018 13:00,0.72765,8.4788,572.804,11.151,5.206,124.942
08-01-2018 14:00,0.72765,7.7969,589.559,10.984,5.072,121.719
08-01-2018 15:00,0.72765,7.8122,582.484,10.600,5.049,121.174
08-01-2018 16:00,0.72765,8.1940,570.736,10.221,5.120,122.874
08-01-2018 17:00,0.72765,8.4379,566.274,10.006,5.176,124.217
08-01-2018 18:00,0.72765,10.4554,545.556,9.852,5.647,135.531
08-01-2018 19:00,0.72765,11.1434,529.675,9.773,5.742,137.800
08-01-2018 20:00,0.72765,11.1145,529.925,9.698,5.737,137.686
08-01-2018 21:00,0.72765,10.9929,537.062,9.612,5.746,137.900
08-01-2018 22:00,0.72765,10.8302,541.499,9.508,5.729,137.493
08-01-2018 23:00,0.72765,10.6242,539.597,9.399,5.666,135.977
09-01-2018 00:00,0.72765,7.8841,550.087,9.433,4.926,118.215
09-01-2018 01:00,0.72765,7.0810,568.181,9.525,4.756,114.153
09-01-2018 02:00,0.72765,6.6682,590.887,9.291,4.713,113.112
09-01-2018 03:00,0.72765,7.0924,552.238,8.977,4.696,112.716
09-01-2018 04:00,0.72765,7.2857,537.173,8.978,4.694,112.650
09-01-2018 05:00,0.72765,7.2603,537.877,8.964,4.689,112.536
09-01-2018 06:00,0.72765,7.3370,535.836,8.928,4.704,112.906
09-01-2018 07:00,0.72765,8.8151,534.659,9.010,5.144,123.461
09-01-2018 08:00,0.72765,9.2308,532.750,9.034,5.254,126.101
09-01-2018 09:00,0.72765,9.2400,532.715,9.123,5.256,126.146
09-01-2018 10:00,0.72765,8.3958,547.278,9.657,5.075,121.803
09-01-2018 11:00,0.72765,7.9858,564.784,10.368,5.027,120.638
09-01-2018 12:00,0.73085,7.9833,565.246,10.542,5.015,120.371
09-01-2018 13:00,0.73176,8.2022,560.001,10.461,5.056,121.349
09-01-2018 14:00,0.73176,8.1832,560.928,10.674,5.053,121.266
09-01-2018 15:00,0.73176,8.3006,560.379,10.380,5.089,122.137
09-01-2018 16:00,0.73176,8.4350,552.537,10.045,5.096,122.304
09-01-2018 17:00,0.73176,8.6383,545.275,9.845,5.123,122.964
09-01-2018 18:00,0.73176,10.6203,541.137,9.803,5.650,135.595
09-01-2018 19:00,0.73176,11.1658,525.495,9.774,5.708,136.999
09-01-2018 20:00,0.73176,11.4927,518.277,9.678,5.750,138.012
09-01-2018 21:00,0.73176,11.2479,530.139,9.618,5.757,138.160
09-01-2018 22:00,0.73176,11.2704,526.014,9.430,5.742,137.797
09-01-2018 23:00,0.73176,11.0620,519.960,9.384,5.655,135.713
10-01-2018 00:00,0.73176,7.9914,531.936,8.463,4.879,117.107
10-01-2018 01:00,0.73176,7.5100,552.866,7.999,4.830,115.932
10-01-2018 02:00,0.73176,7.1533,575.555,8.126,4.811,115.467
10-01-2018 03:00,0.73176,6.7833,599.905,8.165,4.787,114.885
10-01-2018 04:00,0.73176,6.6793,590.785,8.017,4.715,113.150
10-01-2018 05:00,0.73176,6.9726,561.694,8.021,4.693,112.637
10-01-2018 06:00,0.73176,7.0750,563.532,8.183,4.734,113.616
10-01-2018 07:00,0.73176,8.8208,556.827,8.212,5.246,125.910
10-01-2018 08:00,0.73176,9.9485,532.180,8.312,5.439,130.539
10-01-2018 09:00,0.73176,10.5918,505.247,8.362,5.465,131.153
10-01-2018 10:00,0.73176,10.9477,502.037,8.581,5.534,132.818
10-01-2018 11:00,0.73176,10.6465,522.093,8.733,5.568,133.621
10-01-2018 12:00,0.73043,10.3798,543.095,8.985,5.613,134.709
10-01-2018 13:00,0.73028,10.4793,560.825,9.423,5.720,137.277
10-01-2018 14:00,0.73028,12.8202,544.820,9.048,6.239,149.743
10-01-2018 15:00,0.73028,12.8866,534.627,9.084,6.195,148.676
10-01-2018 16:00,0.73028,13.1982,523.171,9.062,6.198,148.763
10-01-2018 17:00,0.73028,13.5241,516.344,8.961,6.233,149.592
10-01-2018 18:00,0.73028,17.1029,501.815,8.909,6.876,165.017
10-01-2018 19:00,0.73028,18.2216,489.548,8.881,7.020,168.485
10-01-2018 20:00,0.73028,18.0884,497.274,8.988,7.051,169.216
10-01-2018 21:00,0.73028,18.0730,493.569,8.994,7.020,168.489
10-01-2018 22:00,0.73028,18.2233,483.307,9.065,6.972,167.334
10-01-2018 23:00,0.73028,17.5333,489.296,9.025,6.886,165.253
11-01-2018 00:00,0.73028,10.7799,514.663,8.970,5.538,132.902
11-01-2018 01:00,0.73028,9.6475,546.039,8.918,5.429,130.287
11-01-2018 02:00,0.73028,9.0817,567.122,8.889,5.373,128.961
11-01-2018 03:00,0.73028,9.1997,552.764,8.844,5.338,128.104
11-01-2018 04:00,0.73028,9.4122,537.883,8.775,5.324,127.784
